,algorithm,district,parameters,shared cost,own cost,time
0,simulated annealing,2,temperature of 100 and random selection of 10,32830,47194,18.69664430618286
1,simulated annealing,2,temperature of 100 and random selection of 10,32785,47923,19.082806825637817
2,simulated annealing,2,temperature of 100 and random selection of 10,32785,47932,19.231938123703003
3,simulated annealing,2,temperature of 100 and random selection of 10,33748,49012,19.736225128173828
4,simulated annealing,2,temperature of 100 and random selection of 10,32695,47599,18.963319063186646
5,simulated annealing,2,temperature of 100 and random selection of 10,32713,48184,19.561800003051758
6,simulated annealing,2,temperature of 100 and random selection of 50,32659,48274,19.812418937683105
7,simulated annealing,2,temperature of 100 and random selection of 50,32713,47329,19.40795922279358
8,simulated annealing,2,temperature of 100 and random selection of 50,32245,47050,19.572468996047974
9,simulated annealing,2,temperature of 100 and random selection of 50,32650,48148,20.12227487564087
10,simulated annealing,2,temperature of 100 and random selection of 50,33235,48823,20.56398916244507
11,simulated annealing,2,temperature of 100 and random selection of 50,32416,47617,19.726172924041748
12,simulated annealing,2,temperature of 100 and random selection of 150,33136,48886,20.51431393623352
13,simulated annealing,2,temperature of 100 and random selection of 150,32506,47536,20.19036889076233
14,simulated annealing,2,temperature of 100 and random selection of 150,32407,47644,20.386194229125977
15,simulated annealing,2,temperature of 100 and random selection of 150,32398,47527,20.59465193748474
16,simulated annealing,2,temperature of 100 and random selection of 150,32155,46987,20.703593969345093
17,simulated annealing,2,temperature of 100 and random selection of 150,32785,47491,20.46844220161438
18,simulated annealing,2,temperature of 500 and random selection of 10,33091,48391,21.256974935531616
19,simulated annealing,2,temperature of 500 and random selection of 10,33127,48337,21.03157877922058
20,simulated annealing,2,temperature of 500 and random selection of 10,32965,47788,20.360146045684814
21,simulated annealing,2,temperature of 500 and random selection of 10,34306,50281,22.10003399848938
22,simulated annealing,2,temperature of 500 and random selection of 10,32614,47905,20.500266075134277
23,simulated annealing,2,temperature of 500 and random selection of 10,32983,48571,21.247655153274536
24,simulated annealing,2,temperature of 500 and random selection of 50,33316,48841,22.16740608215332
25,simulated annealing,2,temperature of 500 and random selection of 50,33289,47905,22.72842001914978
26,simulated annealing,2,temperature of 500 and random selection of 50,32704,47671,21.292659044265747
27,simulated annealing,2,temperature of 500 and random selection of 50,32326,47239,21.281792163848877
28,simulated annealing,2,temperature of 500 and random selection of 50,32731,47671,21.668500900268555
29,simulated annealing,2,temperature of 500 and random selection of 50,33532,49003,21.979900121688843
30,simulated annealing,2,temperature of 500 and random selection of 150,32461,48346,21.54986000061035
31,simulated annealing,2,temperature of 500 and random selection of 150,33316,48436,21.848368883132935
32,simulated annealing,2,temperature of 500 and random selection of 150,33244,48319,21.892096042633057
33,simulated annealing,2,temperature of 500 and random selection of 150,32137,47374,20.861228227615356
34,simulated annealing,2,temperature of 500 and random selection of 150,33271,48661,23.223691940307617
35,simulated annealing,2,temperature of 500 and random selection of 150,33784,48886,22.62874722480774
36,simulated annealing,2,temperature of 1000 and random selection of 10,32020,46843,20.990198850631714
37,simulated annealing,2,temperature of 1000 and random selection of 10,32470,47779,22.655835151672363
38,simulated annealing,2,temperature of 1000 and random selection of 10,32776,48049,22.358618021011353
39,simulated annealing,2,temperature of 1000 and random selection of 10,32461,47302,21.247812747955322
40,simulated annealing,2,temperature of 1000 and random selection of 10,32866,47491,21.810785055160522
41,simulated annealing,2,temperature of 1000 and random selection of 10,33289,48436,22.491602897644043
42,simulated annealing,2,temperature of 1000 and random selection of 50,33082,49048,22.30578088760376
43,simulated annealing,2,temperature of 1000 and random selection of 50,33046,48346,21.99858522415161
44,simulated annealing,2,temperature of 1000 and random selection of 50,33118,48535,22.2866370677948
45,simulated annealing,2,temperature of 1000 and random selection of 50,32659,48211,21.484023094177246
46,simulated annealing,2,temperature of 1000 and random selection of 50,32335,47077,21.36981201171875
47,simulated annealing,2,temperature of 1000 and random selection of 50,33298,48625,21.545655965805054
48,simulated annealing,2,temperature of 1000 and random selection of 150,32488,47140,21.515366315841675
49,simulated annealing,2,temperature of 1000 and random selection of 150,32704,47806,20.780747175216675
50,simulated annealing,2,temperature of 1000 and random selection of 150,32668,47599,21.664135932922363
51,simulated annealing,2,temperature of 1000 and random selection of 150,32956,48013,21.462417125701904
52,simulated annealing,2,temperature of 1000 and random selection of 150,33181,47608,20.776689052581787
53,simulated annealing,2,temperature of 1000 and random selection of 150,33289,48940,23.231044054031372
